| ROM    | Address Range   | Size  | Description                     | Notes                      |
| c8.8i  | 0x17900-0x17BFF | 768B  | Visual Map 4 (Tile Mapping)     | Bank 0x07, mapped to 0x9900|
| c8.8i  | 0x17C00-0x17D76 | 375B  | Game Title - Uppercase T        | 30x25px, 4bpp, interleaved |
| c8.8i  | 0x17D77-0x17E3E | 200B  | Game Title - Lowercase u        | 20x20px, 4bpp, interleaved |
| c8.8i  | 0x17E3F-0x17EF4 | 182B  | Game Title - Lowercase t        | 26x14px, 4bpp, interleaved |
| c8.8i  | 0x17EF5-0x17FF8 | 260B  | Game Title - Lowercase m        | 20x26px, 4bpp, interleaved |
| c8.8i  | 0x17FF9-0x17FFF | 7B    | Padding / Unused Bytes (0xFF)   | Unprogrammed Bytes         |
| c9.9i  | 0x18000-0x183DD | 990B  | Treasure 1 (Map)                | 44x44px, 4bpp, interleaved |
| c9.9i  | 0x183DE-0x187BB | 990B  | Treasure 2 (Genie Lamp)         | 44x44px, 4bpp, interleaved |
| c9.9i  | 0x187BC-0x18B99 | 990B  | Treasure 3 (Treasure Chest)     | 44x44px, 4bpp, interleaved |
| c9.9i  | 0x18B9A-0x18F77 | 990B  | Treasure 4 (Tutankham Mask)     | 44x44px, 4bpp, interleaved |
| c9.9i  | 0x18F78-0x18F8D | 22B   | Extra Graphics Padding (0x11)   | Likely Error Bytes, ignored|
| c9.9i  | 0x18F8E-0x18FFF | 114B  | Padding / Unused Bytes (0xFF)   | Unprogrammed Bytes         |
